uri,cid,unittitle,unitdate,containers
/repositories/4/archival_objects/1442685,AC187_c00168,McDonnell Professorship,1981-1987,box 22 folder 1 
/repositories/4/archival_objects/1442686,AC187_c00169,Mellon Professorship in the Humanities,1975-1982,box 22 folder 2 
/repositories/4/archival_objects/1442687,AC187_c00170,"Straus, Roger, Professorship",1972-1977,box 22 folder 3 
/repositories/4/archival_objects/1442688,AC187_c00171,Stuart Professorship,1979-1984,box 22 folder 4 
/repositories/4/archival_objects/1442689,AC187_c00172,Weinberg Professorships,1981-1985,box 22 folder 5 
/repositories/4/archival_objects/1442690,AC187_c00173,Zilkha Professorship,1981-1983,box 22 folder 6 
/repositories/4/archival_objects/1442691,AC187_c00175,General,1972-1987,box 22 folder 7-11 
/repositories/4/archival_objects/1442692,AC187_c00176,A-Z (by Name),1970-1976,box 22 folder 12 
/repositories/4/archival_objects/1442693,AC187_c00177,Advisory Council,1974-1987,box 23 folder 1 
/repositories/4/archival_objects/1442694,AC187_c00178,Air Force,1980-1987,box 23 folder 2 
/repositories/4/archival_objects/1442695,AC187_c00179,Commissioning Exercises,1970-1982,box 23 folder 3 
/repositories/4/archival_objects/1442696,AC187_c00180,Military Science,1972-1975,box 23 folder 4 
/repositories/4/archival_objects/1442697,AC187_c00181,Open Forum Material,1972,box 23 folder 5 
/repositories/4/archival_objects/1442698,AC187_c00182,Reports,1973,box 23 folder 6 
/repositories/4/archival_objects/1444581,AC187_c00185,1972-1987,1972-1987,box 23 folder 7-10 
/repositories/4/archival_objects/1444582,AC187_c00186,Blairstown Feasibility Study,1971-1973,box 24 folder 1 
/repositories/4/archival_objects/1444583,AC187_c00187,Deanship,1978-1982,box 24 folder 2 
/repositories/4/archival_objects/1444584,AC187_c00189,1972-1986,1972-1986,box 24 folder 3-8 
/repositories/4/archival_objects/1444585,AC187_c00190,1983-1987,1983-1987,box 25 folder 1-2 
/repositories/4/archival_objects/1445730,AC187_c00192,1974-1987,1974-1987,box 25 folder 3-7 
/repositories/4/archival_objects/1445731,AC187_c00193,Landau Report,1981-1982,box 25 folder 8 
/repositories/4/archival_objects/1444587,AC187_c00194,Center for Energy and Environmental Studies,1974-1987,box 26 folder 1-2 
/repositories/4/archival_objects/1444588,AC187_c00195,Chemical,1972-1983,box 26 folder 3 
/repositories/4/archival_objects/1444589,AC187_c00196,Center for Photonics Technology,1986-1987,box 26 folder 4 
/repositories/4/archival_objects/1444590,AC187_c00197,Chemical,1984-1987,box 26 folder 5 
/repositories/4/archival_objects/1445732,AC187_c00199,1972-1987,1972-1987,box 26 folder 6-8 
/repositories/4/archival_objects/1445733,AC187_c00200,Transportation Program,1973-1978,box 26 folder 9 
/repositories/4/archival_objects/1444592,AC187_c00201,Computer Science,1985-1987,box 26 folder 10 
/repositories/4/archival_objects/1445734,AC187_c00203,1983-1986,1983-1986,box 27 folder 1-3 
/repositories/4/archival_objects/1445735,AC187_c00204,A-I (by Name),1984-1986,box 27 folder 4 
/repositories/4/archival_objects/1445736,AC187_c00205,Hellums,1984-1985,box 27 folder 5 
/repositories/4/archival_objects/1445737,AC187_c00206,J-Z (by Name),1984-1986,box 27 folder 6 
/repositories/4/archival_objects/1445738,AC187_c00207,Tanner,1985,box 27 folder 7 
/repositories/4/archival_objects/1445739,AC187_c00208,Wei,1984-1985,box 27 folder 8 
/repositories/4/archival_objects/1444594,AC187_c00209,Earthquake Engineering Research Center,1986,box 27 folder 9 
/repositories/4/archival_objects/1444595,AC187_c00210,Electrical,1972-1979,box 27 folder 10 
/repositories/4/archival_objects/1444596,AC187_c00211,Electrical (and Computer Science),1979-1987,box 28 folder 1-3 
/repositories/4/archival_objects/1445740,AC187_c00213,New Jersey Conservation Laboratory,1985-1986,box 28 folder 4 
/repositories/4/archival_objects/1444598,AC187_c00214,Jahn Report to the Curriculum Committee of the Board,1972,box 28 folder 5 
/repositories/4/archival_objects/1445741,AC187_c00216,1972-1987,1972-1987,box 28 folder 6-8 
/repositories/4/archival_objects/1445742,AC187_c00217,(Advisory Council Report),1987,box 28 folder 9 
/repositories/4/archival_objects/1445743,AC187_c00219,1987,1987,box 28 folder 10 
/repositories/4/archival_objects/1445744,AC187_c00220,1987,1987,box 29 folder 1 
/repositories/4/archival_objects/1444601,AC187_c00221,Princeton/DuPont Seminar,1976,box 29 folder 2 
/repositories/4/archival_objects/1444602,AC187_c00222,Prospects and Plans,1981-1982,box 29 folder 3 
/repositories/4/archival_objects/1444603,AC187_c00223,Survey of Quality of Graduate Education,1976,box 29 folder 4 
/repositories/4/archival_objects/1444604,AC187_c00224,Water Resources Program,1972-1988,box 29 folder 5 
/repositories/4/archival_objects/1444605,AC187_c00226,1970-1976,1970-1976,box 29 folder 6-9 
/repositories/4/archival_objects/1444606,AC187_c00227,1977-1987,1977-1987,box 30 folder 1-4 
/repositories/4/archival_objects/1445745,AC187_c00229,1983-1987,1983-1987,box 30 folder 5 
/repositories/4/archival_objects/1445746,AC187_c00230,A-Z (by Name),1972-1987,box 30 folder 6-8 
/repositories/4/archival_objects/1445747,AC187_c00232,1972-1973,1972-1973,box 30 folder 9 
/repositories/4/archival_objects/1445748,AC187_c00233,1976-1979,1976-1979,box 31 folder 1-2 
/repositories/4/archival_objects/1445749,AC187_c00235,1972-1987,1972-1987,box 31 folder 3-4 
/repositories/4/archival_objects/1445750,AC187_c00236,A-L (by Name),1972-1974,box 31 folder 5 
/repositories/4/archival_objects/1445751,AC187_c00237,M-Z (by Name),1972-1984,box 31 folder 6 
/repositories/4/archival_objects/1445752,AC187_c00238,Danforth,1972-1980,box 31 folder 7-8 
/repositories/4/archival_objects/1445753,AC187_c00239,"Dulles, John F",1985-1986,box 31 folder 9 
/repositories/4/archival_objects/1445754,AC187_c00240,Ford Foundation,1972-1985,box 31 folder 10 
/repositories/4/archival_objects/1445755,AC187_c00241,Garden State,1978-1985,box 31 folder 11 
/repositories/4/archival_objects/1445756,AC187_c00242,Harkness,1974-1986,box 32 folder 1 
/repositories/4/archival_objects/1445757,AC187_c00243,Morse Dissertation,1980-1982,box 32 folder 2 
/repositories/4/archival_objects/1445758,AC187_c00244,National Science Foundation,1972-1987,box 32 folder 3 
/repositories/4/archival_objects/1445759,AC187_c00245,RCA,1973-1985,box 32 folder 4 
/repositories/4/archival_objects/1445760,AC187_c00247,1972-1983,1972-1983,box 32 folder 5-6 
/repositories/4/archival_objects/1445761,AC187_c00248,"""Financing Graduate Education in the 80s""",1983,box 32 folder 7 
/repositories/4/archival_objects/1444611,AC187_c00249,Housing,1974-1987,box 32 folder 8-9 
/repositories/4/archival_objects/1444612,AC187_c00250,Newsletter,1978-1984,box 32 folder 10 
/repositories/4/archival_objects/1445762,AC187_c00252,A-Z (by Name),1972-1976,box 32 folder 12 
/repositories/4/archival_objects/1445763,AC187_c00253,A-Z (by Name),1977-1987,box 33 folder 1-3 
/repositories/4/archival_objects/1445764,AC187_c00254,"Howie, Donald",1976,box 33 folder 4 
/repositories/4/archival_objects/1445765,AC187_c00255,"Orso, Steven",1972-1978,box 33 folder 5 
/repositories/4/archival_objects/1445766,AC187_c00256,"Sales, Ruby",1973-1974,box 33 folder 6 
/repositories/4/archival_objects/1444614,AC187_c00258,1972-1974,1972-1974,box 33 folder 7-8 
/repositories/4/archival_objects/1444615,AC187_c00259,1975-1986,1975-1986,box 34 folder 1-8 
/repositories/4/archival_objects/1444616,AC187_c00260,1987,1987,box 35 folder 1 
/repositories/4/archival_objects/1444617,AC187_c00261,Alumni Weekend,1976,box 35 folder 2 
/repositories/4/archival_objects/1444618,AC187_c00262,Arms Control (Nuclear Policy Alternative Program),1984,box 35 folder 3 
/repositories/4/archival_objects/1445767,AC187_c00264,1972-1987,1972-1987,box 35 folder 4-8 
/repositories/4/archival_objects/1445768,AC187_c00265,Advisory Council,1986-1987,box 35 folder 9 
/repositories/4/archival_objects/1444620,AC187_c00266,Center for Philosophy and Public Affairs,1985-1986,box 35 folder 10 
/repositories/4/archival_objects/1444621,AC187_c00267,Conference on Staffing and Advising the Presidency,1975,box 35 folder 11 
/repositories/4/archival_objects/1444622,AC187_c00268,Council on (Center for) New Jersey Affairs,1975-1979,box 35 folder 12 
/repositories/4/archival_objects/1445769,AC187_c00270,1981-1984,1981-1984,box 35 folder 13 
/repositories/4/archival_objects/1445770,AC187_c00271,1985-1987,1985-1987,box 36 folder 1 
/repositories/4/archival_objects/1444624,AC187_c00272,Deanship Search,1973-1983,box 36 folder 2-3 
/repositories/4/archival_objects/1444625,AC187_c00273,"Doar, John, Appointment",1974-1975,box 36 folder 4 
/repositories/4/archival_objects/1444626,AC187_c00274,Executive in Residence Program,1979-1980,box 36 folder 5 
/repositories/4/archival_objects/1444627,AC187_c00275,Faculty Meetings,1975-1979,box 36 folder 6-8 
/repositories/4/archival_objects/1444628,AC187_c00276,Farmanfarmaian Lecture Series,1971-1973,box 36 folder 9 
/repositories/4/archival_objects/1445771,AC187_c00278,A-Z (by Name),1972-1977,box 37 folder 1 
/repositories/4/archival_objects/1445772,AC187_c00279,"Humphrey, Hubert H",1978-1979,box 37 folder 2 
/repositories/4/archival_objects/1445773,AC187_c00280,"McConnell, Neil",1972-1976,box 37 folder 3 
/repositories/4/archival_objects/1444630,AC187_c00281,"Financing Higher Education in New Jersey, Workshop on",1974,box 37 folder 4 
/repositories/4/archival_objects/1444631,AC187_c00282,"Fund Drive, Fiftieth Anniversary",1981-1986,box 37 folder 5 
/repositories/4/archival_objects/1444632,AC187_c00283,"Havens, Richard",1972,box 37 folder 6 
/repositories/4/archival_objects/1444633,AC187_c00284,Jawaharlal Nehru University,1971-1972,box 37 folder 7 
/repositories/4/archival_objects/1445774,AC187_c00286,1971-1973,1971-1973,box 37 folder 8 
/repositories/4/archival_objects/1445775,AC187_c00287,(Law and Public Affairs),1974-1975,box 37 folder 9 
/repositories/4/archival_objects/1445776,AC187_c00288,(Draft Report),1975,box 37 folder 10 
/repositories/4/archival_objects/1445777,AC187_c00289,(New York Law School Correspondence),1976,box 38 folder 1 
/repositories/4/archival_objects/1445778,AC187_c00290,1976-1984,1976-1984,box 38 folder 2 
/repositories/4/archival_objects/1445779,AC187_c00291,"(Law, Philosophy, and Public Policy)",1985,box 38 folder 3 
/repositories/4/archival_objects/1444635,AC187_c00292,"Meir, Golda",1974-1975,box 38 folder 4 
/repositories/4/archival_objects/1444636,AC187_c00293,Mid Career Fellow Program,1973-1985,box 38 folder 5 
/repositories/4/archival_objects/1444637,AC187_c00294,News &amp; Notes,1975-1985,box 38 folder 6-7 
/repositories/4/archival_objects/1445780,AC187_c00296,1972-1985,1972-1985,box 38 folder 8-9 
/repositories/4/archival_objects/1445781,AC187_c00297,1986-1987,1986-1987,box 39 folder 1 
/repositories/4/archival_objects/1444639,AC187_c00298,Program in Criminal Justice,1972-1981,box 39 folder 2 
/repositories/4/archival_objects/1444640,AC187_c00299,Program in Economics Journalism,1975-1979,box 39 folder 3 
/repositories/4/archival_objects/1444641,AC187_c00300,"""Reagan Presidency at Mid-Term"" Conference",1982,box 39 folder 4 
/repositories/4/archival_objects/1444642,AC187_c00301,Research Program in Development Studies,1977,box 39 folder 5 
/repositories/4/archival_objects/1444643,AC187_c00302,"Robertson, Charles",1972,box 39 folder 6 
/repositories/4/archival_objects/1444644,AC187_c00303,Robertson Dedication,1973,box 39 folder 7 
/repositories/4/archival_objects/1444645,AC187_c00304,"Schlesinger, James R., Lecture Series",1975-1977,box 39 folder 8 
/repositories/4/archival_objects/1444646,AC187_c00305,"Task Force on Non-Degree Programs, Report of the",1975,box 39 folder 9 
/repositories/4/archival_objects/1444647,AC187_c00306,Urban Planning Program,1979-1980,box 39 folder 10 
/repositories/4/archival_objects/1444648,AC187_c00307,World's Food Problems,1975,box 39 folder 11 
/repositories/4/archival_objects/1445782,AC187_c00309,1972-1977,1972-1977,box 39 folder 12 
/repositories/4/archival_objects/1445783,AC187_c00310,A-L (by Name),1972-1976,box 39 folder 13 
/repositories/4/archival_objects/1445784,AC187_c00311,M-Z (by Name),1972-1976,box 40 folder 1 
/repositories/4/archival_objects/1445785,AC187_c00312,Bowen Working Papers,1972,box 40 folder 2 
/repositories/4/archival_objects/1444650,AC187_c00313,World Politics,1973-1987,box 40 folder 3-4 
