blank,file_uri,uri
,http://findingaids.princeton.edu/folders/MC104.3/c00307.mets,/repositories/3/digital_objects/42497
,http://findingaids.princeton.edu/folders/MC104.3/c00308.mets,/repositories/3/digital_objects/42498
,http://findingaids.princeton.edu/folders/MC104.3/c00309.mets,/repositories/3/digital_objects/42499
,http://findingaids.princeton.edu/folders/MC104.3/c00310.mets,/repositories/3/digital_objects/42500
,http://findingaids.princeton.edu/folders/MC104.3/c00311.mets,/repositories/3/digital_objects/42501
,http://findingaids.princeton.edu/folders/MC104.3/c00312.mets,/repositories/3/digital_objects/42502
,http://findingaids.princeton.edu/folders/MC104.3/c00313.mets,/repositories/3/digital_objects/42503
,http://findingaids.princeton.edu/folders/MC104.3/c00314.mets,/repositories/3/digital_objects/42504
,http://findingaids.princeton.edu/folders/MC104.3/c00315.mets,/repositories/3/digital_objects/42505
,http://findingaids.princeton.edu/folders/MC104.3/c00316.mets,/repositories/3/digital_objects/42506
,http://findingaids.princeton.edu/folders/MC104.3/c00317.mets,/repositories/3/digital_objects/42507
,http://findingaids.princeton.edu/folders/MC104.3/c00318.mets,/repositories/3/digital_objects/42508
,http://findingaids.princeton.edu/folders/MC104.3/c03247.mets,/repositories/3/digital_objects/42509
,http://findingaids.princeton.edu/folders/MC104.3/c00319.mets,/repositories/3/digital_objects/42510
,http://findingaids.princeton.edu/folders/MC104.3/c00320.mets,/repositories/3/digital_objects/42511
,http://findingaids.princeton.edu/folders/MC104.3/c00321.mets,/repositories/3/digital_objects/42512
,http://findingaids.princeton.edu/folders/MC104.3/c00322.mets,/repositories/3/digital_objects/42513
,http://findingaids.princeton.edu/folders/MC104.3/c00323.mets,/repositories/3/digital_objects/42514
,http://findingaids.princeton.edu/folders/MC104.3/c00324.mets,/repositories/3/digital_objects/42515
,http://findingaids.princeton.edu/folders/MC104.3/c00325.mets,/repositories/3/digital_objects/42516
,http://findingaids.princeton.edu/folders/MC104.3/c00326.mets,/repositories/3/digital_objects/42518
,http://findingaids.princeton.edu/folders/MC104.3/c00327.mets,/repositories/3/digital_objects/42519
,http://findingaids.princeton.edu/folders/MC104.3/c00328.mets,/repositories/3/digital_objects/42520
,http://findingaids.princeton.edu/folders/MC104.3/c00329.mets,/repositories/3/digital_objects/42521
,http://findingaids.princeton.edu/folders/MC104.3/c00330.mets,/repositories/3/digital_objects/42522
,http://findingaids.princeton.edu/folders/MC104.3/c00331.mets,/repositories/3/digital_objects/42523
,http://findingaids.princeton.edu/folders/MC104.3/c00332.mets,/repositories/3/digital_objects/42524
,http://findingaids.princeton.edu/folders/MC104.3/c00333.mets,/repositories/3/digital_objects/42525
,http://findingaids.princeton.edu/folders/MC104.3/c00334.mets,/repositories/3/digital_objects/42526
,http://findingaids.princeton.edu/folders/MC104.3/c00335.mets,/repositories/3/digital_objects/42527
,http://findingaids.princeton.edu/folders/MC104.3/c00336.mets,/repositories/3/digital_objects/42528
,http://findingaids.princeton.edu/folders/MC104.3/c00337.mets,/repositories/3/digital_objects/42529
