blank,aos,repo,eadid,tc_type,tc_indicator,,string,location,profile,restriction,helper,ils_holding_id
,/repositories/3/archival_objects/520227,3,MC047,box,8,,MC047_box_8,/locations/23649,/container_profiles/3,Open,262,MC047_add262
,/repositories/3/archival_objects/520227,3,MC047,box,9,,MC047_box_9,/locations/23649,/container_profiles/3,Open,263,MC047_add263
,/repositories/3/archival_objects/359124,3,MC165,box,181,,MC165_box_181,/locations/23652,/container_profiles/3,Open,264,MC165_add264
,/repositories/3/archival_objects/359124,3,MC165,box,182,,MC165_box_182,/locations/23652,/container_profiles/3,Open,265,MC165_add265
,/repositories/3/archival_objects/359124,3,MC165,box,183,,MC165_box_183,/locations/23652,/container_profiles/3,Open,266,MC165_add266
,/repositories/3/archival_objects/359124,3,MC165,box,184,,MC165_box_184,/locations/23652,/container_profiles/3,Open,267,MC165_add267
,/repositories/3/archival_objects/359124,3,MC165,box,185,,MC165_box_185,/locations/23652,/container_profiles/3,Open,268,MC165_add268
,/repositories/3/archival_objects/359124,3,MC165,box,186,,MC165_box_186,/locations/23652,/container_profiles/3,Open,269,MC165_add269
,/repositories/3/archival_objects/359124,3,MC165,box,187,,MC165_box_187,/locations/23652,/container_profiles/3,Open,270,MC165_add270
,/repositories/3/archival_objects/359124,3,MC165,box,188,,MC165_box_188,/locations/23652,/container_profiles/3,Open,271,MC165_add271
,/repositories/3/archival_objects/359125,3,MC165,box,192,,MC165_box_192,/locations/23652,/container_profiles/3,Open,272,MC165_add272
,/repositories/3/archival_objects/359125,3,MC165,box,193,,MC165_box_193,/locations/23652,/container_profiles/3,Open,273,MC165_add273
,/repositories/3/archival_objects/359125,3,MC165,box,194,,MC165_box_194,/locations/23652,/container_profiles/3,Open,274,MC165_add274
,/repositories/3/archival_objects/359125,3,MC165,box,195,,MC165_box_195,/locations/23652,/container_profiles/3,Open,275,MC165_add275
,/repositories/3/archival_objects/359125,3,MC165,box,196,,MC165_box_196,/locations/23652,/container_profiles/3,Open,276,MC165_add276
,/repositories/3/archival_objects/358946,3,MC165,box,2,,MC165_box_2,/locations/23652,/container_profiles/3,Open,277,MC165_add277
,/repositories/3/archival_objects/359126,3,MC165,box,200,,MC165_box_200,/locations/23652,/container_profiles/3,Open,278,MC165_add278
,/repositories/3/archival_objects/359149,3,MC165,box,253,,MC165_box_253,/locations/23652,/container_profiles/3,Open,279,MC165_add279
,/repositories/3/archival_objects/359151,3,MC165,box,261,,MC165_box_261,/locations/23652,/container_profiles/3,Open,280,MC165_add280
,/repositories/3/archival_objects/359154,3,MC165,box,268,,MC165_box_268,/locations/23652,/container_profiles/3,Open,281,MC165_add281
,/repositories/3/archival_objects/359154,3,MC165,box,269,,MC165_box_269,/locations/23652,/container_profiles/3,Open,282,MC165_add282
,/repositories/3/archival_objects/359156,3,MC165,box,279,,MC165_box_279,/locations/23652,/container_profiles/3,Open,283,MC165_add283
,/repositories/3/archival_objects/359167,3,MC165,box,303,,MC165_box_303,/locations/23652,/container_profiles/3,Open,284,MC165_add284
,/repositories/3/archival_objects/359167,3,MC165,box,304,,MC165_box_304,/locations/23652,/container_profiles/3,Open,285,MC165_add285
,/repositories/3/archival_objects/359196,3,MC165,box,343,,MC165_box_343,/locations/23652,/container_profiles/3,Open,286,MC165_add286
,/repositories/3/archival_objects/359230,3,MC165,box,382,,MC165_box_382,/locations/23652,/container_profiles/3,Open,287,MC165_add287
,/repositories/3/archival_objects/359230,3,MC165,box,383,,MC165_box_383,/locations/23652,/container_profiles/3,Open,288,MC165_add288
,/repositories/3/archival_objects/359265,3,MC165,box,423,,MC165_box_423,/locations/23652,/container_profiles/3,Open,289,MC165_add289
,/repositories/3/archival_objects/359265,3,MC165,box,424,,MC165_box_424,/locations/23652,/container_profiles/3,Open,290,MC165_add290
,/repositories/3/archival_objects/359308,3,MC165,box,492,,MC165_box_492,/locations/23652,/container_profiles/3,Open,291,MC165_add291
,/repositories/3/archival_objects/359308,3,MC165,box,493,,MC165_box_493,/locations/23652,/container_profiles/3,Open,292,MC165_add292
,/repositories/3/archival_objects/364457,3,MC175,box,28,,MC175_box_28,/locations/23652,/container_profiles/3,Open,293,MC175_add293
,/repositories/3/archival_objects/364458,3,MC175,box,32,,MC175_box_32,/locations/23652,/container_profiles/3,Open,294,MC175_add294
,/repositories/3/archival_objects/364462,3,MC175,box,40,,MC175_box_40,/locations/23652,/container_profiles/3,Open,295,MC175_add295
,/repositories/3/archival_objects/364469,3,MC175,box,87,,MC175_box_87,/locations/23652,/container_profiles/3,Open,296,MC175_add296
,/repositories/3/archival_objects/364469,3,MC175,box,88,,MC175_box_88,/locations/23652,/container_profiles/3,Open,297,MC175_add297
,/repositories/3/archival_objects/364469,3,MC175,box,89,,MC175_box_89,/locations/23652,/container_profiles/3,Open,298,MC175_add298
,/repositories/3/archival_objects/364469,3,MC175,box,90,,MC175_box_90,/locations/23652,/container_profiles/3,Open,299,MC175_add299
,/repositories/3/archival_objects/365289,3,MC178,box,466,,MC178_box_466,/locations/23649,/container_profiles/3,Open,300,MC178_add300
,/repositories/3/archival_objects/365289,3,MC178,box,467,,MC178_box_467,/locations/23649,/container_profiles/3,Open,301,MC178_add301
,/repositories/3/archival_objects/365289,3,MC178,box,468,,MC178_box_468,/locations/23649,/container_profiles/3,Open,302,MC178_add302
,/repositories/3/archival_objects/365289,3,MC178,box,469,,MC178_box_469,/locations/23649,/container_profiles/3,Open,303,MC178_add303
,/repositories/3/archival_objects/365289,3,MC178,box,470,,MC178_box_470,/locations/23649,/container_profiles/3,Open,304,MC178_add304
,/repositories/3/archival_objects/365289,3,MC178,box,471,,MC178_box_471,/locations/23649,/container_profiles/3,Open,305,MC178_add305
,/repositories/3/archival_objects/365289,3,MC178,box,472,,MC178_box_472,/locations/23649,/container_profiles/3,Open,306,MC178_add306
,/repositories/3/archival_objects/365289,3,MC178,box,473,,MC178_box_473,/locations/23649,/container_profiles/3,Open,307,MC178_add307
